canonical_key,total_mentions,variation_count,variations
Beth,608,1,['Elizabeth']
Darcy,405,2,"[' Darcy', 'Darcy']"
Jessie,295,1,['Jane']
Bennet,289,3,"[' Bennet', 'Bennet', 'Bennets']"
Bingley,240,3,"[' Bingley', 'Bingley', 'Bingleys']"
Collins,205,2,"[' Collins', 'Collins']"
Wickham,204,2,"[' Wickham', 'Wickham']"
Lydia,171,1,['Lydia']
Gardiner,113,3,"[' Gardiner', 'Gardiner', 'Gardiners']"
Lady_Catherine,101,1,['Lady Catherine']
Elizabeth,94,1,['Lizzy']
Miss_Bingley,82,1,['Miss Bingley']
Chick,79,1,['Charlotte']
Kitty,72,1,['Kitty']
Miss_Bennet,70,2,"['Miss Bennet', 'Miss Bennets']"
Mariah,42,1,['Mary']
Miss_Darcy,40,1,['Miss Darcy']
Philips,38,2,"[' Philips', 'Philips']"
Hurst,36,2,"[' Hurst', 'Hurst']"
Catherin,32,2,"['Catherin', 'Catherine']"
Sir_William,32,1,['Sir William']
Colonel_Fitzwilliam,30,1,['Colonel Fitzwilliam']
Colonel_Forster,26,1,['Colonel Forster']
Miss_Lucas,25,1,['Miss Lucas']
Miss_Austen,24,1,['Miss Austen']
Meryton,21,1,['Meryton']
Forster,20,3,"[' Forster', 'Forster', 'Forsters']"
Mariah,20,1,['Maria']
Miss_De_Bourgh,20,2,"['Miss De Bourgh', 'Miss de Bourgh']"
Ladyship,19,1,['Ladyship']
Long,17,2,"[' Long', 'Long']"
Lady_Lucas,17,1,['Lady Lucas']
Longbourn,17,1,['Longbourn']
Louise,16,1,['Eliza']
Dennison,15,2,"[' Denny', 'Denny']"
Carol,15,1,['Caroline']
Netherfield,15,1,['Netherfield']
Georgiana,14,1,['Georgiana']
Lucases,14,1,['Lucases']
Lady_Catherine_De_Bourgh,13,1,['Lady Catherine de Bourgh']
Rosings,13,1,['Rosings']
Reynolds,11,2,"[' Reynolds', 'Reynolds']"
Luke,10,1,['Lucas']
Pemberley,10,1,['Pemberley']
Sir_William_Lucas,10,1,['Sir William Lucas']
Jenkinson,9,1,[' Jenkinson']
Charlotte_Lucas,9,1,['Charlotte Lucas']
Hill,8,2,"[' Hill', 'Hill']"
Bourgh,7,1,['Bourgh']
Charlie,7,1,['Charles']
Fitzwilliam,7,1,['Fitzwilliam']
George_Wickham,7,1,['George Wickham']
Miss_Elizabeth,7,1,['Miss Elizabeth']
Wilma,7,1,['William']
Robinson,6,2,"[' Robinson', 'Robinson']"
Collinses,6,1,['Collinses']
Louisa,6,1,['Louisa']
Addison,5,2,"[' Addison', 'Addison']"
Jones,5,2,"[' Jones', 'Jones']"
Hunsford,5,1,['Hunsford']
Miss_Eliza,5,1,['Miss Eliza']
Miss_King,5,1,['Miss King']
Swift,5,1,['Swift']
Younge,4,2,"[' Younge', 'Younge']"
Elizabeth_Bennet,4,1,['Elizabeth Bennet']
Fielding,4,1,['Fielding']
Annesley,3,1,[' Annesley']
Norris,3,2,"[' Norris', 'Norris']"
Anna,3,1,['Anne']
Captain_Carter,3,1,['Captain Carter']
De,3,2,"['De', 'de']"
Derbyshire,3,1,['Derbyshire']
Emily,3,1,['Emma']
F,3,1,['F']
Goulding,3,2,"['Goulding', 'Gouldings']"
Kent,3,1,['Kent']
Lucas_Lodge,3,1,['Lucas Lodge']
Miss_Elizabeth_Bennet,3,1,['Miss Elizabeth Bennet']
Sir_Lewis_De_Bourgh,3,1,['Sir Lewis de Bourgh']
Austen_Leigh,2,2,"[' Austen Leigh', 'Austen Leigh']"
Nichols,2,2,"[' Nichols', 'Nicholls']"
Austen,2,1,['Austen']
Babs,2,1,['Barbara']
Beatrix,2,1,['Beatrix']
Colonel_F,2,1,['Colonel F']
Colonel_Miller,2,1,['Colonel Miller']
Crawford,2,1,['Crawford']
Dawson,2,1,['Dawson']
De_Bourgh,2,1,['De Bourgh']
Elizab,2,2,"['Elizab', 'Elizabe']"
Eltons,2,1,['Eltons']
Frances,2,1,['Fanny']
General,2,1,['General']
Haggerston,2,1,['Haggerston']
Harriet,2,1,['Harriet']
Heaven,2,1,['Heaven']
Jane_Austen,2,1,['Jane Austen']
Johnathon,2,1,['John']
Kingsley,2,1,['King']
Elizabeth,2,1,['Lizzie']
Lydia_Bennet,2,1,['Lydia Bennet']
M,2,1,['M']
Mamma,2,1,['Mamma']
Miss_Eliza_Bennet,2,1,['Miss Eliza Bennet']
Miss_Lizzy,2,1,['Miss Lizzy']
Miss_Lucases,2,1,['Miss Lucases']
Miss_Lydia_Bennet,2,1,['Miss Lydia Bennet']
Newcastle,2,1,['Newcastle']
Philipses,2,1,['Philipses']
Pratt,2,1,['Pratt']
Thackeray,2,1,['Thackeray']
W,2,1,['W']
Goldwin_Smith,1,1,[' Goldwin Smith']
Morris,1,1,[' Morris']
Musgrove,1,1,[' Musgrove']
Rushworth,1,1,[' Rushworth']
Shapely,1,1,[' Shapely']
Spectator,1,1,[' Spectator']
De_Maupassant,1,1,[' de Maupassant']
Anne_Darcy,1,1,['Anne Darcy']
Argemone_Lavington,1,1,['Argemone Lavington']
B,1,1,['B']
William,1,1,['Bell']
Benjamin,1,1,['Ben']
Boulanger,1,1,['Boulanger']
Bountiful,1,1,['Bountiful']
Brighton,1,1,['Brighton']
Bromley,1,1,['Bromley']
C,1,1,['C']
Caroline_Bingley,1,1,['Caroline Bingley']
Carter,1,1,['Carter']
Chamberlayne,1,1,['Chamberlayne']
Clapham,1,1,['Clapham']
Clarke,1,1,['Clarke']
Cosway,1,1,['Cosway']
Darc,1,1,['Darc']
Diana,1,1,['Diana']
Diana_Vernon,1,1,['Diana Vernon']
Don_Juanish,1,1,['Don Juanish']
Dovedale,1,1,['Dovedale']
E,1,1,['E']
Edmund,1,1,['Edmund']
Edward_Street,1,1,['Edward Street']
Eliza_Bennet,1,1,['Eliza Bennet']
Fitzwilliam_Darcy,1,1,['Fitzwilliam Darcy']
Fordyce,1,1,['Fordyce']
Frank_Churchill,1,1,['Frank Churchill']
G,1,1,['G']
George_Allen,1,1,['George Allen']
George_Saintsbury,1,1,['George Saintsbury']
Georgiana_Darcy,1,1,['Georgiana Darcy']
Grant,1,1,['Grant']
Greenberry,1,1,['Green']
Harringtons,1,1,['Harringtons']
Harry,1,1,['Henry']
Hertfordshire,1,1,['Hertfordshire']
Hi,1,1,['Hi']
Hugh_Thomson_Ruskin,1,1,['Hugh Thomson Ruskin']
Hursts,1,1,['Hursts']
Jamey,1,1,['James']
Jane_Bennet,1,1,['Jane Bennet']
Jane_Fairfax,1,1,['Jane Fairfax']
John_Dashwood,1,1,['John Dashwood']
John_Thorpe,1,1,['John Thorpe']
Lady_Anne,1,1,['Lady Anne']
Lady_Anne_Darcy,1,1,['Lady Anne Darcy']
Lady_Metcalfe,1,1,['Lady Metcalfe']
Lady_Powerful,1,1,['Lady Powerful']
Lambton,1,1,['Lambton']
Lodge,1,1,['Lodge']
Lydia_Wickham,1,1,['Lydia Wickham']
Maria_Lucas,1,1,['Maria Lucas']
Mary_King,1,1,['Mary King']
Mary_Wollstonecraft,1,1,['Mary Wollstonecraft']
Meissonier,1,1,['Meissonier']
Memling,1,1,['Memling']
Mentor,1,1,['Mentor']
Miller,1,1,['Miller']
Miss_Bates,1,1,['Miss Bates']
Miss_Burney,1,1,['Miss Burney']
Miss_Grantley,1,1,['Miss Grantley']
Miss_Lydia,1,1,['Miss Lydia']
Miss_Pope,1,1,['Miss Pope']
Miss_Watson,1,1,['Miss Watson']
Miss_Webbs,1,1,['Miss Webbs']
Niece,1,1,['Niece']
O,1,1,['O']
Observing,1,1,['Observing']
Pen,1,1,['Pen']
Philistinism,1,1,['Philistinism']
Pray,1,1,['Pray']
Dick,1,1,['Richard']
Salvador,1,1,['Sally']
Sarah,1,1,['Sarah']
Prescott,1,1,['Scott']
Smollett,1,1,['Smollett']
St,1,1,['St']
Stone,1,1,['Stone']
Street,1,1,['Street']
Walt_Whitman,1,1,['Walt Whitman']
Well,1,1,['Well']
Westerham,1,1,['Westerham']
William_Goulding,1,1,['William Goulding']
Woods,1,1,['Woods']
Aunt,1,1,['aunt']
